,Kode MK,MK,CPL,Kode BK,BK,Kode CPMK,CPMK,Kode SubCPMK,SubCPMK,MetodePembelajaran,Bentuk Pembelajaran,Bentuk Penilaian,Kriteria Penilaian,Materi Pembelajaran,SubCPMK Lama,Materi Pembelajaran Lama,Deskripsi
"Dr. Widaningsih Condrowardhani, SH, MH.",MK001,Pancasila,"(CPL01) Menginternalisasi ketakwaan kepada Tuhan Yang Maha Esa, menaati hukum, disiplin, dan menunjukkan profesionalisme melalui etika profesi, pembelajaran sepanjang hayat, serta respons terhadap isu sosial dan teknologi.
",BK30,Pengembangan Diri,CPMK102,"Mampu menginternalisasi nilai ketakwaan kepada Tuhan YME, Pancasila, kewarganegaraan, dan menunjukkan pembelajaran sepanjang hayat melalui disiplin diri, tanggung jawab sosial, dan adaptasi karir profesional",SCPMK102-00101,"Mahasiswa mampu menganalisis nilai-nilai Pancasila, sejarah perjuangan bangsa, dan sistem ketatanegaraan Indonesia untuk menerapkannya sebagai dasar sikap dan tindakan sebagai warga negara yang bertakwa dan berintegritas.","Ceramah/Kuliah Pakar, Problem Based Learning/FGD","Ceramah interaktif, diskusi kelompok, studi kasus","Tes Tulis (UTS), Tes Tulis (UAS), Tugas, Unjuk Kerja (Presentasi)","Ketepatan pemahaman konsep, kedalaman analisis kasus kebangsaan, dan konsistensi sikap sesuai nilai Pancasila","Pancasila dalam tinjauan historis, kultural, yuridis, dan filosofis; sejarah perjuangan bangsa Indonesia; Pancasila sebagai sistem filsafat dan ideologi nasional; UUD RI 1945 dan amandemennya; Trias Politika dan kelembagaan negara; HAM dalam UUD RI 1945; tindak pidana korupsi; Pancasila sebagai paradigma pembangunan","Mahasiswa mampu menerapkan prinsip etika, nilai-nilai Pancasila, serta aspek keselamatan dan kesehatan kerja dalam pengembangan dan pemeliharaan sistem informasi.","1. Pendidikan pancasila dalam tinjauan historis, cultural, yuridis dan filosofis
2. Pancasila dalam konteks sejarah perjuangan bangsa Indonesia
3. Pancasila sebagai sistem filsafat
4. UUD RI 1945
5. Amandemen UUD RI 1945
6. Trias Politika dalam Negara RI
7. Kelembagaan Negara menurut UUD RI 1945
8. Pancasila sebagai ideologi nasional
9. Ideologi Lain yang berkembang di dunia
10. Pancasila dan HAM
11. Pelaksanaan HAM dalam UUD RI 1945
12. Tindak Pidana Korupsi
13. Pancasila sebagai Paradigma Pembangunan
METODE PEMBELAJARAN:
Ceramah/Kuliah Pakar,
2. Problem Based Learning/FGD
3. Project Based Learning
4. Self-Learning (V-Class)
5. Diskusi Kelompok
6. Metode Case

","Mampu  memahami sejarah, landasan, serta filosofi & kedudukan pancasila sehingga dijadikan sebagai dasar Negara Republik Indonesia"
"Ariadi Retno Ririd, S.Kom., M.Kom.
 
 	
Rudy Ariyanto, ST., M.Cs.",MK002,Konsep Teknologi Informasi,"(CLP02) 
Menguasai konsep teoritis bidang pengetahuan Ilmu Komputer/Informatika dalam merancang solusi aplikasi multi-platform yang relevan dengan kebutuhan stakeholder",BK15,Computing Systems Fundamentals,CPMK208,"Mampu menganalisis kebutuhan komputasi dari solusi aplikasi multi-platform dan memilih arsitektur computing system yang sesuai dengan mempertimbangkan interaksi antara hardware, sistem operasi, dan aplikasi",SCPMK208-00201,"Mahasiswa mampu menganalisis kebutuhan komputasi suatu solusi teknologi informasi dengan mempertimbangkan konsep sistem komputer, interaksi hardware, sistem operasi,  dan aplikasi, serta jaringan komputer dan internet untuk menentukan arsitektur sistem yang sesuai.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah interaktif, diskusi studi kasus","Quiz, Tes Tulis (UTS), Tes Tulis (UAS), Tugas",Ketepatan analisis kebutuhan komputasi dan kesesuaian pemilihan arsitektur sistem terhadap studi kasus,"Konsep sistem komputer, representasi data, aljabar Boolean, flowchart, serta interaksi hardware-OS-aplikasi dalam solusi teknologi informasi",Mahasiswa mampu menggunakan konsep teknologi informasi untuk menyelesaikan masalah,"Konsep Teknologi
1. Inovasi Teknologi
2. Perkembangan Iptek
3. Etika Rekayasa
4. Perkembangan ICT
5. Sistem Komputer
6. Konsep Sistem Komputer
7. Representasi Data
8. Aljabar Boolean
9. Flowchart
10. Jaringan Komputer dan Internet
11. Aplikasi TI di Berbagai Bidang Sertifikasi Bidang TI.","Dalam mata kuliah ini, akan dibahas tentang konsep teknologi, Inovasi teknologi, Perkembangan Iptek, Etika Rekayasa, Perkembangan ICT, Sistem Komputer, Konsep Sistem Komputer, Representasi Data, Aljabar Boolean, Flowchart, Jaringan Komputer dan Internet,Aplikasi TI di Berbagai Bidang, Sertifikasi Bidang TI."
,,,CPL05,BK16,Architecture and Organization,CPMK502,"Mampu mengidentifikasi, menganalisis, dan menerapkan prinsip serta teknik keamanan untuk menangani isu-isu kerentanan pada sistem operasi, jaringan, dan lingkungan cloud.",SCPMK502-00201,Mahasiswa mampu menjelaskan dan memanfaatkan konsep arsitektur sistem komputasi serta organisasi perangkat keras dan perangkat lunak dalam memilih solusi teknologi informasi yang tepat untuk kebutuhan infrastruktur digital.,Contextual Instruction (CI),"Ceramah, diskusi kasus keamanan sistem","Quiz, Tes Tulis (UTS)",Ketepatan identifikasi arsitektur sistem komputasi dan organisasi perangkat keras/lunak yang sesuai kebutuhan,"Arsitektur sistem komputasi, organisasi perangkat keras dan perangkat lunak, dasar infrastruktur digital",,,
,,,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,BK16,Architecture and Organization,CPMK901,Mahasiswa mampu menjelaskan dan menganalisis cara kerja sistem komputer beserta komponen utamanya.,SCPMK901-00201,"Mahasiswa mampu menjelaskan dan menganalisis cara kerja sistem komputer secara konseptual, mencakup komponen utama sistem, representasi data, aljabar Boolean, serta alur pemrosesan informasi menggunakan flowchart.",Contextual Instruction (CI),"Ceramah, diskusi terstruktur","Quiz, Tes Tulis (UTS)",Ketepatan menjelaskan komponen sistem komputer dan alur pemrosesan informasi,"Cara kerja sistem komputer, komponen utama sistem, representasi data, aljabar Boolean, dan flowchart pemrosesan informasi",,,
"Vivi Nur Wijayaningrum, S.Kom, M.Kom
 
 	
Rokhimatul Wakhidah, S.Pd., M.T.",MK003,Critical thinking dan problem solving,"(CPL04)
Menyusun deskripsi saintifik hasil kajian implikasi pengembangan atau implementasi ilmu pengetahuan teknologi dalam bentuk skripsi atau laporan tugas akhir atau artikel
ilmiah.",BK20,Computational Science,CPMK401,Mahasiswa mampu menganalisis permasalahan kompleks dan menyusun solusi rasional berbasis data dalam bentuk deskripsi ilmiah yang terstruktur.,SCPMK401-003001,"Mahasiswa mampu menganalisis argumen dan permasalahan secara kritis melalui identifikasi fakta, klaim, bias, kesalahan penalaran, serta penerapan berbagai bentuk penalaran logis dan statistik.",Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Ceramah interaktif, Diskusi studi kasus","Quiz, Tes Tulis (UTS)",Ketepatan dalam menyelesaikan soal yang diberikan,"1. Konsep dan karakteristik berpikir kritis dan pemecahan masalah
2. Analisis argumen dan penalaran logis
3. Identifikasi fakta, klaim, bias, dan kesalahan penalaran
4. Penalaran logis, statistik, dan inferensial dalam analisis masalah","2.2.1.1 SUBCPMK1 
Mahasiswa mampu mengidentifikasi, menganalisis, dan mengevaluasi argumen dalam berbagai konteks diskusi atau materi tertulis, dengan membedakan antara fakta dan opini serta mengenali bias dan kesalahan logika yang umum.
2.2.1.2 SUBCPMK2 
Mahasiswa mampu menerapkan berbagai teknik dan alat pemecahan masalah, termasuk pemikiran lateral, brainstorming, dan analisis root cause, untuk menemukan solusi inovatif dan efektif terhadap masalah yang kompleks
2.2.1.3 SUBCPMK3 
Mahasiswa mampu mengembangkan solusi yang logis dan berdasarkan bukti untuk masalah yang diberikan, dan secara efektif membela solusi tersebut melalui argumentasi yang kohesif dan berbasis data.","1. Berpikir dan Menalar
2. Pondasi Berpikir Kritis
3. Kemampuan Dasar Pemecahan Masalah
4. Applied Critical Thinking
5. Kemampuan Pemecahan Masalah Tingkat Lanjut
6. Teknik-teknik Lanjutan untuk Pemecahan Masalah
7. Penalaran Kritis
","Pada matakuliah ini mahasiswa akan belajar mengenai konsep berpikir kritis dan bagaimana penerapannya dalam menanggapi informasi dalam kehidupan sehari-hari. Selain itu pada mata kuliah ini akan diajarkan mengenai konsep dan teknik-teknik dalam menyelesaikan kasus/permasalahan baik dalam lingkup ujian/tes, maupun pada masalah-masalah yang dijumpai dalam kehidupan sehari-hari.
"
,,,,,,,,SCPMK401-003002,"Mahasiswa mampu menyusun dan mengevaluasi solusi permasalahan secara ilmiah dengan mengintegrasikan data, argumen logis, dan kreativitas terstruktur dalam bentuk proposal dan presentasi.",Pembelajaran Berbasis Masalah (Problem Based Learning/PBL),"Diskusi kelompok, Presentasi","Unjuk Kerja (Presentasi), Partisipasi","Kejelasan struktur penyajian solusi, serta kualitas argumentasi dan keterkaitan dengan data
","1. Identifikasi dan perumusan masalah
2. Strategi dan teknik pemecahan masalah terstruktur
3. Sintesis data dan argumen dalam penyusunan solusi ilmiah
4. Evaluasi, validasi, dan penyempurnaan solusi
5. Penyusunan proposal dan presentasi solusi",,,
"Prof. Dr. Eng. Cahya Rahmad, S.T., M.Kom.
Erfan Rohadi, ST., M. Eng., Ph. D",MK004,Matematika Dasar,CPL09        Memiliki pemahaman yang memadai terkait cara kerja sistem komputer dan berbagai teknik/pendekatan berbasis komputasi untuk memecahkan masalah  stakeholder,"BK20
BK21","Computational Science
Discrete Structures",CPMK902,"Mahasiswa mampu menguasai prinsip matematika, ilmu alam dan struktur diskrit serta menerapkan pendekatan komputasional sebagai dasar analisis terhadap permasalahan.",SCPMK902-00401,"- Mampu menjelaskan dan memodelkan konsep dasar matematika diskrit (logika, himpunan, graf) untuk representasi data.
",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah interaktif, Diskusi studi kasus","Quiz, Tes Tulis (UAS), Tes Tulis (UTS)","Pemahaman konsep, ketepatan perhitungan, kemampuan penalaran dan pemecahan masalah, penerapan matematika dasar secara kontekstual, serta kerapian dan ketelitian penyelesaian.","1. Jenis Bilangan, Faktor dan Bilangan Prima, Pecahan, Rasio, dan Presentase
2. Bilangan Desimal
3. Pangkat
4. Sistem Bilangan
5. Logika
6. Pengenalan Aljabar
7. Penyelesaian Persamaan Linier 
dan Polinomial
8. Grafik
9. Kombinatorial",,"Proposisi dan Logika, Teori Bilangan, Teori Himpunan, Relasi dan Fungsi, Induksi dan Rekursi, Aljabar Boolean, Teori Graf dan Pohon.","Matematika Diskrit adalah cabang ilmu Aljabar yang mempelajari perhitungan yang khusus menggunakan bilangan diskrit (tidak kontinyu), dan menyarankan cara-cara paling efisien dalam menemukan solusinya. Dalam hal ini, sehubungan dengan konteks IT, bilangan biner mendapatkan perhatian utama. "
,,,,,,,,SCPMK902-00402,"- Mampu menerapkan algoritma komputasional berbasis struktur diskrit dalam menyelesaikan perhitungan sistematis.
",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah interaktif, Diskusi studi kasus","Quiz, Tes Tulis (UTS), Tes Tulis (UAS)","Ketepatan penerapan algoritma komputasional, kemampuan penalaran dan pemecahan masalah, kerapian dan ketelitian penyelesaian","Sistem bilangan, logika, aljabar, dan penyelesaian persamaan linier sebagai dasar algoritma komputasional",,,
,,,,,,,,SCPMK902-00403,- Mampu menganalisis masalah nyata menggunakan pendekatan komputasi untuk menghasilkan solusi yang optimal.,Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Ceramah interaktif, Diskusi studi kasus","Quiz, Tes Tulis (UAS)",Ketepatan analisis masalah nyata dan optimalitas solusi komputasional yang dihasilkan,"Grafik, kombinatorial, dan penerapan pendekatan komputasional pada permasalahan nyata",,,
"Atiqah Nurul Asri, S.Pd., M.Pd
",MK005,Bahasa Inggris 1,"(CPL03)
Mampu mengelola tim, manajemen diri, berkomunikasi secara lisan maupun tertulis dengan baik dan mampu melakukan presentasi.",BK30,Pengembangan Diri,CPMK303,"Mampu mengembangkan diri secara berkelanjutan melalui komunikasi lisan dan tertulis yang efektif dalam konteks akademik dan profesional, presentasi diri dan ide secara percaya diri, serta pengelolaan karir dan kinerja di lingkungan kerja nyata.",SCPMK30300501,"Mampu menyampaikan opini, argumentasi, pertanyaan, dan jawaban menggunakan bahasa Inggris dalam kegiatan diskusi atau presentasi akademik.",Pembelajaran Berbasis Kasus (Case Based Learning/CBL),"Diskusi kelompok, presentasi lisan","Tes Tulis (UTS), Tes Tulis (UAS), Quiz, Observasi (Praktik/ Tugas), Partisipasi","Ketepatan penyampaian opini dan argumentasi, kelancaran dan tata bahasa dalam presentasi akademik","Computer Applications, Computer Architecture, Multimedia, Computer Network - kosakata dan tata bahasa (present simple, imperatives, comparatives) dalam konteks Teknik Informatika","3.2.1.1 SUBCPMK1
Mahasiswa mampu menerapkan pengetahuan tentang teknik berkomunikasi lisan dan tulisan menggunakan bahasa Inggris dalam konteks Teknik Informatika.

3.2.1.2 SUBCPMK2
Mahasiswa mampu berkomunikasi dengan menggunakan bahasa Inggris secara lisan dan tulisan dalam konteks Teknik Informatika.

","1. Topic 1: Computer Applications
1.1. Kinds of Computer Applications and Their Uses
1.2. Grammatical Functions: Present Simple, Imperatives, and Sequencers
1.3. Software Installation Process
2. Topic 2: Computer Architecture
2.1. Types of Computers
2.2. Computer Hardware and Its Functions
2.3. Grammatical Functions: Describing the Functions of Computer Hardware
2.4. Computer Ads
2.5. Grammatical Functions: Adjectives, Comparatives, and Superlatives
3. Topic 3: Multimedia
3.1. Multimedia Hardware
3.2. Toolbox of a Graphic Program
3.3. Grammatical Functions: Passive Sentences and Time Clauses
4. Topic 4: Computer Network
4.1. Network and Network Hardware
4.2. Network Topology
4.3. Grammatical Functions: If-Clause 
5. Topic 5: Website
5.1. Website Features and Their Functions
5.2. Types of Websites and Their Purposes
5.3. Website Analytics and Data Visualization
5.4. Grammatical Functions Used to Describe Data on the Charts
5.5. Characteristics of a Good Website
6. Topic 6: Careers in IT
6.1. IT Jobs and Their Responsibilities
6.2. Grammatical Functions: Modals for Expressing Skills and Qualifications
7. Topic 7: IT Support Staff
7.1. Computer Problems and Their Solutions
7.2. Grammatical Functions: Modals Used to Analyze Problems and Their Possible Solutions
7.3. Service Report, Help Desk Ticket, and Email
8. Topic 8: Workstation Health and Safety
8.1. Work Health and Safety Problems
8.2. Grammatical Functions: Expressions Used for Giving and Declaring Prohibition        ","Nama mata kuliah ini adalah Bahasa Inggris 1 diajarkan untuk mahasiswa Program Studi Teknik Informatika yang difokuskan pada pelatihan kemampuan dan kecakapan mereka dalam Listening, Speaking, Reading, dan Writing secara terintegrasi dalam konteks Teknik Informatika. Karena itu, topik-topik pada materi ini disesuaikan dengan konteks bidang Teknik Informatika yang dapat diterapkan dalam kehidupan sehari-hari dan di dunia kerja kelak. Aktivitas yang dilakukan selama proses belajar-mengajar meliputi ceramah, diskusi, role play, presentasi, dan project individu maupun kelompok. Mata kuliah ini juga mendukung penerapan Case Method dan Project Based Learning yang direncanakan tim kurikulum setiap semester-nya.

"
